0,年末
1,基金
2,奔走
3,愈加
4,频繁
5,年底
6,发行
7,顺畅
8,股型
9,库存
10,股市
11,乐观
12,期许
13,排名
14,决战
15,行业
16,排名战
17,本周一
18,剔除港
19,国泰
20,互联网+
21,收益率
22,易方
23,消费
24,百分点
25,第9
26,第18
27,如果
28,增至
29,东方红
30,交易日
31,一刻
32,年终
33,仓股
34,往往
35,行之有效
36,板块
37,抱团
38,偏股型
39,持有
40,贵州茅台
41,五粮液
42,基金重仓
43,美的集团
44,泸州老窖
45,品种
46,名将
47,重仓股
48,净值
49,报独
50,持仓市值
51,混合A
52,持有光大
53,嘉宝
54,首旅酒店
55,东方雨虹
56,华安
57,优选
58,宁波银行
59,万华化学
60,华夏幸福
61,银新生
62,中际旭
63,兆易创新
64,海能达
65,鑫利
66,歌尔股份
67,华东医药
68,伟星新材
69,更上一层楼
70,11日
71,证券
72,上海
73,证监局
74,网站
75,检查
76,海通证券
77,发布
78,江特电机
79,研究
80,报告
81,估值
82,倍数
83,依据
84,信息
85,源标
86,完整
87,违反
88,暂行
89,规定
90,相关
91,制作人
92,出具
93,警示
94,监管
95,券商
96,警示函
97,五花八门
98,研报
99,债券
100,受托
101,尽职
102,趋严
103,定调
104,一级
105,二级
106,审慎
107,名人
108,施毅
109,预测江
110,特电机
111,2019年
112,盈余
113,EPS
114,分别
115,对应
116,目标
117,摊薄
118,上述
119,标注
120,引用
121,记录表
122,严守
123,相距
124,透支
125,自营部
126,久前
127,上交所
128,安信
129,预测
130,估算
131,客观
132,风险
133,揭示
134,充分
135,试解
136,2025年
137,前后
138,投放量
139,48万
140,净利润
141,740亿
142,250亿
143,升幅
144,预估
145,市值
146,85万亿
147,上交
148,业绩
149,结论
150,基于
151,茅台酒
152,出厂
153,假设
154,足且
155,笼统
156,提示
157,提速
158,延后
159,合理性
160,实现性
161,遵守
162,夸大
163,误导性
164,陈述
165,自觉
166,点名
167,批评
168,监管局
169,杭萧钢构
170,雄安新区
171,严谨
172,客观性
173,审慎性
174,习近平
175,同志
176,国有
177,资产
178,体制
179,改革
180,资本
181,授权
182,战略性
183,保值
184,增值
185,防止
186,流失
187,企业
188,混合
189,所有制
190,一流
191,起点
192,党中央
193,指明
194,遵循
195,推进
196,现代化
197,人民
198,共同
199,重要
200,发展
201,基础
202,政治
203,深化
204,坚持
205,中国
206,特色
207,社会主义
208,实现
209,一百
210,奋斗
211,重大
212,必然
213,要求
214,全部
215,公有制
216,经济
217,制度
218,增强
219,十八
220,治国
221,理政
222,理念
223,深入
224,见效
225,机制
226,更加
227,实力
228,竞争力
229,主导
230,作用
231,发挥
232,9万亿
233,布局
234,结构
235,必须
236,气力
237,推向
238,前进
239,任务
240,全面
241,百年
242,征程
243,历史
244,五位一体
245,责任
246,应有
247,载人
248,探月
249,工程
250,深海
251,探测
252,特高压
253,输变电
254,先进
255,标志性
256,国之重器
257,共振
258,向往
259,同向
260,肩负
261,光荣
262,推动
263,我国
264,健康
265,呈现
266,常态
267,生产力
268,综合
269,把握
270,稳中求进
271,大力
272,一补
273,瘦身
274,健体
275,提质
276,增效
277,重组
278,僵尸
279,中高速
280,落实
281,方向
282,完善
283,动摇
284,非公有制
285,非公有
286,相互
287,取长补短
288,市场经济
289,规律
290,分开
291,政资
292,统一
293,依法
294,自主经营
295,自负盈亏
296,自我
297,约束
298,建设
299,现代
300,有利于
301,活力
302,着力
303,束缚
304,人才
305,搞好
306,法人
307,财产权
308,自主权
309,领导
310,政治原
311,一以贯之
312,党组织
313,党风
314,廉政
315,领导班子
316,队伍
317,忠诚
318,企有方
319,兴企有为
320,清正廉洁
321,领导人员
322,切实
323,以习
324,近平
325,核心
326,钉子
327,各类
328,管理
329,建立
330,健全
331,法规
332,体系
333,制度化
334,系统化
335,经营
336,加快
337,职能
338,出资人
339,定位
340,清单
341,创新
342,方式
343,行政化
344,改进
345,办法
346,及时性
347,有效性
348,运营
349,探索
350,有效
351,市场化
352,战略
353,命脉
354,国计民生
355,关键
